0001  function void shellsort {itg n, list (itg) l} [
        [0001, 0001] (0001,          DefFunction) {function}
        [0001, 0010] (0003,             TypeVoid) {void}
        [0001, 0015] (0000,        Identificator) {shellsort}
        [0001, 0025] (0010,            OpenBrace) {{}
        [0001, 0026] (0004,          TypeInteger) {itg}
        [0001, 0030] (0000,        Identificator) {n}
        [0001, 0031] (0025,          SignalComma) {,}
        [0001, 0033] (0009,             TypeList) {list}
        [0001, 0038] (0014,              OpenPar) {(}
        [0001, 0039] (0004,          TypeInteger) {itg}
        [0001, 0042] (0015,             ClosePar) {)}
        [0001, 0044] (0000,        Identificator) {l}
        [0001, 0045] (0011,           CloseBrace) {}}
        [0001, 0047] (0012,            OpenBrack) {[}
0002      itg h = 1;
        [0002, 0005] (0004,          TypeInteger) {itg}
        [0002, 0009] (0000,        Identificator) {h}
        [0002, 0011] (0040,      AtributionEqual) {=}
        [0002, 0013] (0051,             IntConst) {1}
        [0002, 0014] (0024,      SignalSemiColon) {;}
0003      while {h < n} [
        [0003, 0005] (0021,        ReservedWhile) {while}
        [0003, 0011] (0010,            OpenBrace) {{}
        [0003, 0012] (0000,        Identificator) {h}
        [0003, 0014] (0044,        RelationLower) {<}
        [0003, 0016] (0000,        Identificator) {n}
        [0003, 0017] (0011,           CloseBrace) {}}
        [0003, 0019] (0012,            OpenBrack) {[}
0004      	h = h * 3 + 1;
        [0004, 0006] (0000,        Identificator) {h}
        [0004, 0008] (0040,      AtributionEqual) {=}
        [0004, 0010] (0000,        Identificator) {h}
        [0004, 0012] (0028,        OperationMult) {*}
        [0004, 0014] (0051,             IntConst) {3}
        [0004, 0016] (0026,         OperationAdd) {+}
        [0004, 0018] (0051,             IntConst) {1}
        [0004, 0019] (0024,      SignalSemiColon) {;}
0005      ]
        [0005, 0005] (0013,           CloseBrack) {]}
0006      h = h / 3;
        [0006, 0005] (0000,        Identificator) {h}
        [0006, 0007] (0040,      AtributionEqual) {=}
        [0006, 0009] (0000,        Identificator) {h}
        [0006, 0011] (0029,         OperationDiv) {/}
        [0006, 0013] (0051,             IntConst) {3}
        [0006, 0014] (0024,      SignalSemiColon) {;}
0007      itg temp, j;
        [0007, 0005] (0004,          TypeInteger) {itg}
        [0007, 0009] (0000,        Identificator) {temp}
        [0007, 0013] (0025,          SignalComma) {,}
        [0007, 0015] (0000,        Identificator) {j}
        [0007, 0016] (0024,      SignalSemiColon) {;}
0008      while {h > 0} [
        [0008, 0005] (0021,        ReservedWhile) {while}
        [0008, 0011] (0010,            OpenBrace) {{}
        [0008, 0012] (0000,        Identificator) {h}
        [0008, 0014] (0043,      RelationGreater) {>}
        [0008, 0016] (0051,             IntConst) {0}
        [0008, 0017] (0011,           CloseBrace) {}}
        [0008, 0019] (0012,            OpenBrack) {[}
0009      	for {i = h; i < n; i++} [
        [0009, 0006] (0020,          ReservedFor) {for}
        [0009, 0010] (0010,            OpenBrace) {{}
        [0009, 0011] (0000,        Identificator) {i}
        [0009, 0013] (0040,      AtributionEqual) {=}
        [0009, 0015] (0000,        Identificator) {h}
        [0009, 0016] (0024,      SignalSemiColon) {;}
        [0009, 0018] (0000,        Identificator) {i}
        [0009, 0020] (0044,        RelationLower) {<}
        [0009, 0022] (0000,        Identificator) {n}
        [0009, 0023] (0024,      SignalSemiColon) {;}
        [0009, 0025] (0000,        Identificator) {i}
        [0009, 0026] (0030,         OperationInc) {++}
        [0009, 0028] (0011,           CloseBrace) {}}
        [0009, 0030] (0012,            OpenBrack) {[}
0010          	temp = l(i);
        [0010, 0010] (0000,        Identificator) {temp}
        [0010, 0015] (0040,      AtributionEqual) {=}
        [0010, 0017] (0000,        Identificator) {l}
        [0010, 0018] (0014,              OpenPar) {(}
        [0010, 0019] (0000,        Identificator) {i}
        [0010, 0020] (0015,             ClosePar) {)}
        [0010, 0021] (0024,      SignalSemiColon) {;}
0011              j = i;
        [0011, 0013] (0000,        Identificator) {j}
        [0011, 0015] (0040,      AtributionEqual) {=}
        [0011, 0017] (0000,        Identificator) {i}
        [0011, 0018] (0024,      SignalSemiColon) {;}
0012              while {j >= h and l(j - h) > temp} [
        [0012, 0013] (0021,        ReservedWhile) {while}
        [0012, 0019] (0010,            OpenBrace) {{}
        [0012, 0020] (0000,        Identificator) {j}
